Date,"(deg C) Maximum Temperature (gridMET) at -117.3962E,33.2170N, 2014-01-01 to 2014-12-31"
1/1/14,19.8668
1/2/14,21.7759
1/3/14,19.7368
1/4/14,18.4864
1/5/14,23.6168
1/6/14,22.7765
1/7/14,19.9665
1/8/14,17.7268
1/9/14,15.636
1/10/14,19.1463
1/11/14,21.0264
1/12/14,18.3867
1/13/14,25.9461
1/14/14,28.5063
1/15/14,29.5662
1/16/14,28.0558
1/17/14,28.3561
1/18/14,25.0969
1/19/14,23.8465
1/20/14,23.5562
1/21/14,22.5758
1/22/14,22.2263
1/23/14,18.0359
1/24/14,19.8264
1/25/14,20.8459
1/26/14,18.1268
1/27/14,18.6958
1/28/14,18.1167
1/29/14,19.1261
1/30/14,15.3357
1/31/14,16.0524
2/1/14,16.3628
2/2/14,16.0928
2/3/14,14.8726
2/4/14,15.4732
2/5/14,16.3035
2/6/14,15.1035
2/7/14,16.0524
2/8/14,17.1627
2/9/14,16.7035
2/10/14,17.8631
2/11/14,19.2927
2/12/14,23.3935
2/13/14,23.9727
2/14/14,24.6729
2/15/14,24.6427
2/16/14,21.7834
2/17/14,19.2031
2/18/14,17.1224
2/19/14,17.3533
2/20/14,23.9133
2/21/14,22.4724
2/22/14,20.8636
2/23/14,19.9425
2/24/14,19.4731
2/25/14,18.3425
2/26/14,18.3034
2/27/14,18.393
2/28/14,17.0202
3/1/14,15.9704
3/2/14,15.9805
3/3/14,18.4397
3/4/14,18.4195
3/5/14,19.3204
3/6/14,19.9904
3/7/14,19.6195
3/8/14,25.6003
3/9/14,28.7498
3/10/14,24.0597
3/11/14,21.28
3/12/14,21.8402
3/13/14,18.9696
3/14/14,19.5601
3/15/14,23.7796
3/16/14,30.9895
3/17/14,21.3393
3/18/14,20.4396
3/19/14,21.1601
3/20/14,20.8396
3/21/14,18.8801
3/22/14,18.1293
3/23/14,19.0895
3/24/14,17.8997
3/25/14,17.2397
3/26/14,17.0896
3/27/14,17.9501
3/28/14,19.2901
3/29/14,21.2005
3/30/14,18.8296
3/31/14,18.1116
4/1/14,15.9514
4/2/14,15.5413
4/3/14,16.7615
4/4/14,16.2417
4/5/14,17.1716
4/6/14,20.4914
4/7/14,24.7512
4/8/14,29.3315
4/9/14,26.9113
4/10/14,22.6818
4/11/14,21.9714
4/12/14,17.8113
4/13/14,17.6208
4/14/14,22.591
4/15/14,18.3009
4/16/14,18.1406
4/17/14,17.4706
4/18/14,19.3709
4/19/14,19.4416
4/20/14,19.2308
4/21/14,20.3412
4/22/14,19.3911
4/23/14,19.3507
4/24/14,20.8914
4/25/14,18.2315
4/26/14,16.701
4/27/14,18.6719
4/28/14,20.9506
4/29/14,32.761
4/30/14,33.2948
5/1/14,34.2146
5/2/14,30.6652
5/3/14,28.8242
5/4/14,22.3651
5/5/14,18.9141
5/6/14,17.6548
5/7/14,18.2441
5/8/14,18.8447
5/9/14,19.7646
5/10/14,19.6346
5/11/14,23.3152
5/12/14,30.6841
5/13/14,34.4543
5/14/14,35.3149
5/15/14,35.5546
5/16/14,31.845
5/17/14,22.8143
5/18/14,20.7942
5/19/14,19.4945
5/20/14,19.5046
5/21/14,20.0245
5/22/14,17.8643
5/23/14,20.6945
5/24/14,18.6845
5/25/14,21.6345
5/26/14,21.955
5/27/14,22.1645
5/28/14,21.5841
5/29/14,21.3544
5/30/14,21.7544
5/31/14,22.2541
6/1/14,22.2541
6/2/14,21.5235
6/3/14,23.7632
6/4/14,22.8837
6/5/14,21.1942
6/6/14,19.9235
6/7/14,20.8434
6/8/14,21.0541
6/9/14,21.4036
6/10/14,19.9639
6/11/14,22.0535
6/12/14,21.8932
6/13/14,20.9633
6/14/14,21.3242
6/15/14,21.4541
6/16/14,20.8737
6/17/14,21.4642
