Date,"(%) Maximum Relative Humidity (gridMET) at -117.3962E,33.2170N, 2014-01-01 to 2014-12-31"
1/1/14,100
1/2/14,100
1/3/14,100
1/4/14,100
1/5/14,100
1/6/14,100
1/7/14,100
1/8/14,100
1/9/14,100
1/10/14,100
1/11/14,100
1/12/14,100
1/13/14,99.9904
1/14/14,91.2986
1/15/14,80.7158
1/16/14,75.7944
1/17/14,72.635
1/18/14,94.8229
1/19/14,100
1/20/14,100
1/21/14,100
1/22/14,100
1/23/14,100
1/24/14,87.3547
1/25/14,100
1/26/14,100
1/27/14,100
1/28/14,100
1/29/14,98.1717
1/30/14,86.6525
1/31/14,100
2/1/14,100
2/2/14,100
2/3/14,100
2/4/14,100
2/5/14,100
2/6/14,95.821
2/7/14,100
2/8/14,100
2/9/14,100
2/10/14,100
2/11/14,100
2/12/14,100
2/13/14,100
2/14/14,100
2/15/14,100
2/16/14,100
2/17/14,100
2/18/14,91.1682
2/19/14,100
2/20/14,100
2/21/14,100
2/22/14,100
2/23/14,100
2/24/14,100
2/25/14,99.2079
2/26/14,79.5177
2/27/14,82.647
2/28/14,86.7887
3/1/14,93.1491
3/2/14,100
3/3/14,100
3/4/14,100
3/5/14,100
3/6/14,79.1399
3/7/14,100
3/8/14,91.0543
3/9/14,82.181
3/10/14,96.5149
3/11/14,100
3/12/14,100
3/13/14,100
3/14/14,100
3/15/14,99.0024
3/16/14,86.814
3/17/14,100
3/18/14,100
3/19/14,100
3/20/14,100
3/21/14,89.3414
3/22/14,99.0157
3/23/14,94.9802
3/24/14,76.7924
3/25/14,83.1458
3/26/14,86.444
3/27/14,97.7842
3/28/14,100
3/29/14,100
3/30/14,100
3/31/14,100
4/1/14,100
4/2/14,100
4/3/14,100
4/4/14,100
4/5/14,100
4/6/14,100
4/7/14,93.236
4/8/14,87.9008
4/9/14,95.2847
4/10/14,100
4/11/14,91.8682
4/12/14,82.9975
4/13/14,98.3647
4/14/14,100
4/15/14,92.3711
4/16/14,93.2911
4/17/14,79.3759
4/18/14,99.0379
4/19/14,100
4/20/14,91.2691
4/21/14,80.3526
4/22/14,100
4/23/14,100
4/24/14,96.6792
4/25/14,100
4/26/14,93.4367
4/27/14,100
4/28/14,100
4/29/14,82.319
4/30/14,63.6398
5/1/14,58.353
5/2/14,62.1538
5/3/14,73.7467
5/4/14,100
5/5/14,97.3931
5/6/14,93.5036
5/7/14,96.2542
5/8/14,100
5/9/14,100
5/10/14,100
5/11/14,100
5/12/14,89.8436
5/13/14,66.7442
5/14/14,53.0992
5/15/14,50.2968
5/16/14,73.4565
5/17/14,95.7017
5/18/14,82.1881
5/19/14,88.2719
5/20/14,100
5/21/14,100
5/22/14,94.0346
5/23/14,84.4152
5/24/14,85.3203
5/25/14,92.4019
5/26/14,87.0748
5/27/14,88.6057
5/28/14,87.0629
5/29/14,100
5/30/14,100
5/31/14,100
6/1/14,95.128
6/2/14,100
6/3/14,99.3572
6/4/14,95.454
6/5/14,90.2176
6/6/14,88.6559
6/7/14,90.9185
6/8/14,89.8777
6/9/14,88.1111
6/10/14,90.6559
6/11/14,91.0371
6/12/14,86.9846
6/13/14,91.946
6/14/14,93.0799
6/15/14,89.0319
6/16/14,100
6/17/14,100
6/18/14,100
6/19/14,100
6/20/14,96.472
6/21/14,93.2338
6/22/14,96.4089
6/23/14,96.7316
6/24/14,93.4505
6/25/14,90.1728
6/26/14,87.3221
