Date,"(m/s) Wind Speed (gridMET) at -117.3962E,33.2170N, 2014-01-01 to 2014-12-31"
1/1/14,1.8775
1/2/14,1.9132
1/3/14,1.4472
1/4/14,1.3308
1/5/14,2.5461
1/6/14,2.9958
1/7/14,1.9515
1/8/14,1.6662
1/9/14,1.6249
1/10/14,2.1613
1/11/14,1.3003
1/12/14,2.2572
1/13/14,4.564
1/14/14,4.1477
1/15/14,4.3598
1/16/14,3.8043
1/17/14,3.1684
1/18/14,1.4753
1/19/14,1.91
1/20/14,1.4353
1/21/14,2.4838
1/22/14,1.3643
1/23/14,2.6642
1/24/14,3.1897
1/25/14,2.5372
1/26/14,2.016
1/27/14,2.2278
1/28/14,1.4178
1/29/14,1.5227
1/30/14,3.5029
1/31/14,3.9157
2/1/14,3.7879
2/2/14,2.836
2/3/14,3.1934
2/4/14,2.7544
2/5/14,2.3536
2/6/14,3.3673
2/7/14,3.364
2/8/14,3.0391
2/9/14,2.8375
2/10/14,3.3372
2/11/14,2.1849
2/12/14,1.7035
2/13/14,2.2888
2/14/14,2.4765
2/15/14,1.9088
2/16/14,2.4024
2/17/14,2.1553
2/18/14,2.2845
2/19/14,2.008
2/20/14,3.5451
2/21/14,1.8986
2/22/14,2.0402
2/23/14,2.2271
2/24/14,1.7884
2/25/14,2.4647
2/26/14,2.8481
2/27/14,3.1834
2/28/14,6.9124
3/1/14,8.4315
3/2/14,4.1139
3/3/14,2.2684
3/4/14,2.9023
3/5/14,2.0611
3/6/14,2.3589
3/7/14,2.3996
3/8/14,2.8238
3/9/14,3.5685
3/10/14,2.0194
3/11/14,2.3445
3/12/14,2.7394
3/13/14,2.3901
3/14/14,2.6877
3/15/14,2.6437
3/16/14,3.142
3/17/14,3.2995
3/18/14,2.617
3/19/14,2.232
3/20/14,1.2924
3/21/14,2.4847
3/22/14,2.65
3/23/14,1.9259
3/24/14,1.6861
3/25/14,2.7753
3/26/14,4.5959
3/27/14,4.6123
3/28/14,2.7778
3/29/14,2.6359
3/30/14,4.4531
3/31/14,3.7949
4/1/14,4.9359
4/2/14,6.6559
4/3/14,2.7171
4/4/14,3.945
4/5/14,3.7127
4/6/14,3.1903
4/7/14,2.3696
4/8/14,1.3828
4/9/14,2.359
4/10/14,2.3327
4/11/14,2.3921
4/12/14,3.0492
4/13/14,2.8214
4/14/14,2.9135
4/15/14,2.0484
4/16/14,2.2548
4/17/14,2.6166
4/18/14,1.7477
4/19/14,2.0775
4/20/14,2.1069
4/21/14,1.4735
4/22/14,3.0491
4/23/14,2.3603
4/24/14,2.1702
4/25/14,3.4849
4/26/14,7.7869
4/27/14,3.8283
4/28/14,3.1766
4/29/14,3.796
4/30/14,5.5044
5/1/14,3.9766
5/2/14,2.0032
5/3/14,2.0162
5/4/14,2.8091
5/5/14,3.2325
5/6/14,4.8464
5/7/14,4.1139
5/8/14,2.7368
5/9/14,2.7598
5/10/14,3.2798
5/11/14,3.1542
5/12/14,3.35
5/13/14,3.5386
5/14/14,4.2194
5/15/14,1.8643
5/16/14,2.2526
5/17/14,3.152
5/18/14,3.175
5/19/14,2.9706
5/20/14,4.2353
5/21/14,3.3318
5/22/14,2.927
5/23/14,2.794
5/24/14,2.4452
5/25/14,1.9543
5/26/14,2.4329
5/27/14,2.3655
5/28/14,2.7371
5/29/14,2.1799
5/30/14,2.6798
5/31/14,2.2423
6/1/14,2.4789
6/2/14,2.8205
6/3/14,2.7325
6/4/14,2.8505
6/5/14,2.9315
6/6/14,3.1434
6/7/14,2.8368
6/8/14,2.1667
6/9/14,2.5067
6/10/14,2.8688
6/11/14,2.4048
6/12/14,2.5737
6/13/14,3.1688
6/14/14,2.618
6/15/14,2.9398
6/16/14,3.189
6/17/14,2.9762
6/18/14,2.6858
6/19/14,2.0522
6/20/14,2.0241
6/21/14,3.1197
6/22/14,2.992
6/23/14,2.3119
6/24/14,2.4031
6/25/14,2.4777
6/26/14,2.5429
6/27/14,2.7845
6/28/14,2.112
6/29/14,2.6925
6/30/14,2.7056
7/1/14,2.4758
7/2/14,2.6254
7/3/14,2.3629
7/4/14,2.2759
7/5/14,2.396
7/6/14,2.321
7/7/14,2.6377
7/8/14,2.4855
7/9/14,2.2503
7/10/14,3.2187
7/11/14,2.867
7/12/14,2.6455
7/13/14,2.3895
7/14/14,1.8595
7/15/14,2.3285
7/16/14,2.1592
7/17/14,2.3749
7/18/14,2.8025
7/19/14,2.7112
7/20/14,2.6713
7/21/14,2.2084
