Date,"(deg C) Maximum Temperature (gridMET) at -117.0751E,33.1278N, 2007-01-01 to 2007-12-31"
1/1/07,17.49
1/2/07,21.6389
1/3/07,21.9393
1/4/07,19.3995
1/5/07,16.84
1/6/07,18.5291
1/7/07,21.8888
1/8/07,25.7694
1/9/07,26.9094
1/10/07,19.759
1/11/07,17.0492
1/12/07,12.4189
1/13/07,11.9696
1/14/07,13.0296
1/15/07,14.4294
1/16/07,16.3093
1/17/07,15.269
1/18/07,16.6898
1/19/07,18.5796
1/20/07,17.6796
1/21/07,17.1994
1/22/07,18.619
1/23/07,20.8399
1/24/07,23.0794
1/25/07,24.0298
1/26/07,19.9596
1/27/07,17.3496
1/28/07,17.5996
1/29/07,18.9698
1/30/07,14.3296
1/31/07,13.9517
2/1/07,15.7208
2/2/07,17.8914
2/3/07,20.3807
2/4/07,25.5417
2/5/07,27.6309
2/6/07,23.8414
2/7/07,20.8116
2/8/07,21.0209
2/9/07,21.3213
2/10/07,21.4407
2/11/07,16.9409
2/12/07,18.1019
2/13/07,15.6211
2/14/07,18.7507
2/15/07,21.8716
2/16/07,26.9907
2/17/07,27.7417
2/18/07,21.8408
2/19/07,14.8516
2/20/07,19.301
2/21/07,19.3515
2/22/07,15.8415
2/23/07,14.2718
2/24/07,18.7211
2/25/07,18.3715
2/26/07,17.7818
2/27/07,13.7917
2/28/07,14.0502
3/1/07,16.59
3/2/07,19.5398
3/3/07,21.8002
3/4/07,24.5001
3/5/07,24.6404
3/6/07,24.4004
3/7/07,22.4503
3/8/07,23.3305
3/9/07,22.8097
3/10/07,25.2499
3/11/07,29.1501
3/12/07,31.1507
3/13/07,27.7208
3/14/07,24.9101
3/15/07,27.6297
3/16/07,28.8903
3/17/07,26.9304
3/18/07,21.7202
3/19/07,21.8101
3/20/07,19.1397
3/21/07,17.9406
3/22/07,21.9701
3/23/07,21.8199
3/24/07,22.1105
3/25/07,24.3597
3/26/07,22.8898
3/27/07,16.2798
3/28/07,19.1003
3/29/07,22.96
3/30/07,25.8002
3/31/07,25.5983
4/1/07,24.6072
4/2/07,23.6383
4/3/07,23.9879
4/4/07,26.1683
4/5/07,24.6983
4/6/07,22.8073
4/7/07,22.1573
4/8/07,21.538
4/9/07,22.4773
4/10/07,24.8079
4/11/07,22.9772
4/12/07,19.0178
4/13/07,24.8571
4/14/07,23.4979
4/15/07,16.6282
4/16/07,20.5777
4/17/07,23.3379
4/18/07,20.5174
4/19/07,22.3074
4/20/07,13.4383
4/21/07,18.7581
4/22/07,18.7581
4/23/07,20.0175
4/24/07,24.3474
4/25/07,25.9479
4/26/07,22.438
4/27/07,27.1372
4/28/07,29.2572
4/29/07,26.3271
4/30/07,27.9855
5/1/07,26.4945
5/2/07,23.9153
5/3/07,20.8953
5/4/07,19.2751
5/5/07,21.3952
5/6/07,26.3456
5/7/07,30.545
5/8/07,32.1553
5/9/07,30.9045
5/10/07,28.5149
5/11/07,25.5453
5/12/07,23.6051
5/13/07,22.7445
5/14/07,24.1554
