Date,"(mm) Precipitation (gridMET) at -117.0751E,33.1278N, 2007-01-01 to 2007-12-31"
1/1/07,0
1/2/07,0
1/3/07,0
1/4/07,0.9485
1/5/07,1.6789
1/6/07,0
1/7/07,0
1/8/07,0
1/9/07,0
1/10/07,0
1/11/07,0
1/12/07,0
1/13/07,0
1/14/07,0
1/15/07,0
1/16/07,0
1/17/07,0
1/18/07,0
1/19/07,0
1/20/07,0
1/21/07,0
1/22/07,0
1/23/07,0
1/24/07,0
1/25/07,0
1/26/07,0
1/27/07,0
1/28/07,0
1/29/07,1.0902
1/30/07,7.7293
1/31/07,10.4438
2/1/07,4.3607
2/2/07,0
2/3/07,0
2/4/07,0
2/5/07,0
2/6/07,0
2/7/07,0
2/8/07,0
2/9/07,0
2/10/07,0
2/11/07,2.5946
2/12/07,0.7304
2/13/07,6.9607
2/14/07,0.387
2/15/07,0.5996
2/16/07,0
2/17/07,0
2/18/07,0
2/19/07,19.95
2/20/07,0
2/21/07,1.0248
2/22/07,2.5401
2/23/07,7.7783
2/24/07,0
2/25/07,0
2/26/07,0
2/27/07,4.1917
2/28/07,4.3334
3/1/07,0
3/2/07,0
3/3/07,0
3/4/07,0
3/5/07,0
3/6/07,0
3/7/07,0
3/8/07,0
3/9/07,0
3/10/07,0
3/11/07,0
3/12/07,0
3/13/07,0
3/14/07,0
3/15/07,0
3/16/07,0
3/17/07,0
3/18/07,0
3/19/07,0
3/20/07,0
3/21/07,2.0224
3/22/07,0.4034
3/23/07,0
3/24/07,0
3/25/07,0
3/26/07,0
3/27/07,0.9049
3/28/07,0
3/29/07,0
3/30/07,0
3/31/07,0
4/1/07,0
4/2/07,0
4/3/07,0
4/4/07,0
4/5/07,0
4/6/07,0
4/7/07,0
4/8/07,0
4/9/07,0
4/10/07,0
4/11/07,0
4/12/07,0
4/13/07,0
4/14/07,0
4/15/07,0
4/16/07,0
4/17/07,0
4/18/07,0
4/19/07,0
4/20/07,11.8556
4/21/07,0.496
4/22/07,1.6571
4/23/07,2.6437
4/24/07,0
4/25/07,0
4/26/07,0
4/27/07,0
4/28/07,0
4/29/07,0
4/30/07,0
5/1/07,0
5/2/07,0
5/3/07,0
5/4/07,0
5/5/07,0.7087
5/6/07,0
5/7/07,0
5/8/07,0
5/9/07,0
5/10/07,0
5/11/07,0
5/12/07,0
5/13/07,0
5/14/07,0
5/15/07,0
5/16/07,0
5/17/07,0
5/18/07,0
5/19/07,0
5/20/07,0
5/21/07,0
5/22/07,0
5/23/07,0.4961
5/24/07,0
5/25/07,0
5/26/07,0
5/27/07,0
5/28/07,0
5/29/07,0
5/30/07,0
5/31/07,0
6/1/07,0
6/2/07,0
6/3/07,0
6/4/07,0
6/5/07,0
6/6/07,0
6/7/07,0
6/8/07,0
6/9/07,0
6/10/07,0
6/11/07,0
6/12/07,0
6/13/07,0
6/14/07,0
6/15/07,0
6/16/07,0
6/17/07,0
6/18/07,0
6/19/07,0
6/20/07,0
6/21/07,0
6/22/07,0
6/23/07,0
6/24/07,0
6/25/07,0
6/26/07,0
6/27/07,0
6/28/07,0
6/29/07,0
6/30/07,0
7/1/07,0
7/2/07,0
7/3/07,0
7/4/07,0
7/5/07,0
7/6/07,0
7/7/07,0
7/8/07,0
7/9/07,0
7/10/07,0
7/11/07,0
7/12/07,0
7/13/07,0
7/14/07,0
7/15/07,0
7/16/07,0
7/17/07,0
7/18/07,0
7/19/07,0
7/20/07,0
7/21/07,0
7/22/07,0
7/23/07,0
7/24/07,0
7/25/07,0
7/26/07,0
7/27/07,0
7/28/07,0
7/29/07,0
7/30/07,0
7/31/07,0
8/1/07,0
8/2/07,0
8/3/07,0
8/4/07,0
