Date,"(%) Maximum Relative Humidity (gridMET) at -117.0751E,33.1278N, 2007-01-01 to 2007-12-31"
1/1/07,87.8719
1/2/07,77.6652
1/3/07,45.0867
1/4/07,82.6117
1/5/07,100
1/6/07,47.2597
1/7/07,41.3045
1/8/07,34.8098
1/9/07,28.8607
1/10/07,54.9803
1/11/07,92.431
1/12/07,88.5172
1/13/07,56.7095
1/14/07,44.6905
1/15/07,47.4416
1/16/07,44.8937
1/17/07,65.0102
1/18/07,75.5995
1/19/07,49.9118
1/20/07,82.8612
1/21/07,83.0611
1/22/07,53.4797
1/23/07,38.6225
1/24/07,41.2904
1/25/07,38.64
1/26/07,60.4525
1/27/07,90.4519
1/28/07,84.9975
1/29/07,87.8439
1/30/07,96.8001
1/31/07,94.2652
2/1/07,100
2/2/07,100
2/3/07,94.7909
2/4/07,77.9139
2/5/07,46.5411
2/6/07,74.9828
2/7/07,90.9583
2/8/07,97.6261
2/9/07,96.7648
2/10/07,88.1147
2/11/07,100
2/12/07,100
2/13/07,100
2/14/07,100
2/15/07,92.8768
2/16/07,70.8056
2/17/07,54.4445
2/18/07,81.8295
2/19/07,100
2/20/07,100
2/21/07,100
2/22/07,100
2/23/07,100
2/24/07,93.143
2/25/07,97.8988
2/26/07,100
2/27/07,100
2/28/07,100
3/1/07,84.7774
3/2/07,86.2866
3/3/07,61.5824
3/4/07,43.5869
3/5/07,79.6092
3/6/07,66.4122
3/7/07,67.7339
3/8/07,80.7124
3/9/07,85.9404
3/10/07,85.6581
3/11/07,64.8916
3/12/07,54.3882
3/13/07,51.5152
3/14/07,77.9668
3/15/07,76.6769
3/16/07,75.5208
3/17/07,69.1645
3/18/07,95.8028
3/19/07,97.4715
3/20/07,96.397
3/21/07,90.5814
3/22/07,89.5917
3/23/07,89.3134
3/24/07,96.5969
3/25/07,92.2346
3/26/07,91.5768
3/27/07,95.7318
3/28/07,89.9941
3/29/07,83.0261
3/30/07,69.641
3/31/07,68.8286
4/1/07,80.2831
4/2/07,97.5094
4/3/07,100
4/4/07,91.9752
4/5/07,96.0247
4/6/07,100
4/7/07,100
4/8/07,100
4/9/07,100
4/10/07,100
4/11/07,96.1561
4/12/07,100
4/13/07,98.3389
4/14/07,70.987
4/15/07,100
4/16/07,95.3705
4/17/07,97.9843
4/18/07,100
4/19/07,93.6404
4/20/07,100
4/21/07,100
4/22/07,100
4/23/07,100
4/24/07,98.7265
4/25/07,85.6659
4/26/07,100
4/27/07,95.2586
4/28/07,88.486
4/29/07,92.2674
4/30/07,94.2461
5/1/07,76.0376
5/2/07,87.5829
5/3/07,96.4393
5/4/07,95.2894
5/5/07,95.9002
5/6/07,78.0574
5/7/07,41.1742
5/8/07,40.4912
5/9/07,52.1658
5/10/07,66.2339
5/11/07,78.6199
5/12/07,84.2645
5/13/07,88.4347
5/14/07,89.3832
5/15/07,94.4332
5/16/07,93.6677
5/17/07,95.503
5/18/07,94.0269
5/19/07,90.3681
5/20/07,92.576
5/21/07,96.1822
5/22/07,97.2252
5/23/07,96.5059
5/24/07,92.1829
5/25/07,92.1321
5/26/07,92.5444
5/27/07,92.8781
5/28/07,93.2428
5/29/07,91.7322
5/30/07,89.2369
5/31/07,93.5435
6/1/07,100
6/2/07,100
6/3/07,100
6/4/07,100
6/5/07,100
6/6/07,100
6/7/07,100
6/8/07,98.5262
6/9/07,100
6/10/07,100
6/11/07,100
6/12/07,100
6/13/07,93.2785
6/14/07,82.5957
6/15/07,92.3569
6/16/07,100
6/17/07,100
6/18/07,100
6/19/07,100
6/20/07,93.3688
6/21/07,91.6893
6/22/07,94.3153
6/23/07,100
6/24/07,100
6/25/07,100
6/26/07,91.366
6/27/07,95.6884
6/28/07,92.2529
6/29/07,97.861
6/30/07,99.2403
7/1/07,97.6635
7/2/07,95.1709
7/3/07,97.5914
7/4/07,88.4865
7/5/07,86.8518
7/6/07,94.9816
7/7/07,94.2052
7/8/07,100
7/9/07,100
7/10/07,100
7/11/07,100
7/12/07,100
7/13/07,100
7/14/07,99.817
7/15/07,97.9506
7/16/07,100
7/17/07,100
7/18/07,100
7/19/07,100
7/20/07,100
7/21/07,100
7/22/07,100
7/23/07,97.074
7/24/07,100
7/25/07,100
7/26/07,92.4936
7/27/07,97.2691
7/28/07,97.8685
7/29/07,100
7/30/07,100
7/31/07,100
8/1/07,100
8/2/07,100
8/3/07,98.387
8/4/07,99.4991
8/5/07,100
8/6/07,100
8/7/07,100
8/8/07,96.145
8/9/07,94.4542
8/10/07,100
8/11/07,98.8076
8/12/07,97.4835
8/13/07,91.3799
8/14/07,91.0973
8/15/07,89.0588
8/16/07,90.9904
8/17/07,91.6741
8/18/07,94.2592
8/19/07,97.1143
8/20/07,92.9407
8/21/07,84.2926
8/22/07,92.1399
8/23/07,100
8/24/07,100
8/25/07,100
8/26/07,97.9418
8/27/07,93.0818
8/28/07,84.1421
8/29/07,78.895
8/30/07,90.0896
8/31/07,87.0634
9/1/07,88.5514
9/2/07,92.1375
9/3/07,90.2332
9/4/07,92.6804
9/5/07,100
9/6/07,100
9/7/07,100
9/8/07,98.3757
9/9/07,100
9/10/07,96.3563
9/11/07,88.289
9/12/07,80.7622
9/13/07,82.1253
9/14/07,86.3601
9/15/07,96.2103
9/16/07,94.9529
9/17/07,100
9/18/07,100
9/19/07,100
9/20/07,100
9/21/07,98.1053
9/22/07,91.005
9/23/07,93.0151
9/24/07,90.9431
9/25/07,91.7264
9/26/07,86.9155
9/27/07,89.8743
9/28/07,100
9/29/07,100
9/30/07,95.1374
10/1/07,82.1892
10/2/07,98.4949
10/3/07,81.9663
10/4/07,98.2789
10/5/07,100
10/6/07,95.447
10/7/07,65.0552
10/8/07,39.2505
10/9/07,54.592
