Date,"(m/s) Wind Speed (gridMET) at -117.0751E,33.1278N, 2007-01-01 to 2007-12-31"
1/1/07,2.8844
1/2/07,3.7027
1/3/07,2.4738
1/4/07,3.2027
1/5/07,7.0025
1/6/07,4.5706
1/7/07,5.6321
1/8/07,4.764
1/9/07,2.8604
1/10/07,4.9136
1/11/07,5.4642
1/12/07,6.3181
1/13/07,2.7648
1/14/07,2.1363
1/15/07,4.2955
1/16/07,3.8649
1/17/07,2.9786
1/18/07,3.7721
1/19/07,3.2534
1/20/07,3.0821
1/21/07,3.2784
1/22/07,3.9208
1/23/07,2.2677
1/24/07,2.5672
1/25/07,2.2348
1/26/07,2.1907
1/27/07,3.2094
1/28/07,2.5355
1/29/07,2.0148
1/30/07,4.6439
1/31/07,2.8876
2/1/07,3.1652
2/2/07,1.6821
2/3/07,2.062
2/4/07,2.9219
2/5/07,2.1293
2/6/07,1.7667
2/7/07,2.491
2/8/07,1.7172
2/9/07,2.0103
2/10/07,1.9675
2/11/07,2.7178
2/12/07,3.2547
2/13/07,4.3871
2/14/07,3.1435
2/15/07,2.2638
2/16/07,3.3702
2/17/07,3.0901
2/18/07,5.7407
2/19/07,4.7011
2/20/07,2.4586
2/21/07,1.9352
2/22/07,4.553
2/23/07,5.4254
2/24/07,2.3668
2/25/07,3.5891
2/26/07,3.3576
2/27/07,4.4326
2/28/07,6.624
3/1/07,3.2453
3/2/07,3.5901
3/3/07,4.4941
3/4/07,3.218
3/5/07,2.3736
3/6/07,2.9311
3/7/07,2.5664
3/8/07,2.4183
3/9/07,1.8472
3/10/07,1.56
3/11/07,2.1798
3/12/07,1.9675
3/13/07,2.5251
3/14/07,1.9471
3/15/07,1.9168
3/16/07,2.2537
3/17/07,1.9903
3/18/07,3.0869
3/19/07,2.8939
3/20/07,4.7142
3/21/07,3.1529
3/22/07,2.5333
3/23/07,2.918
3/24/07,2.7107
3/25/07,2.3685
3/26/07,2.5671
3/27/07,7.9797
3/28/07,4.9742
3/29/07,3.4597
3/30/07,1.9594
3/31/07,2.3074
4/1/07,1.78
4/2/07,2.7822
4/3/07,2.7237
4/4/07,2.038
4/5/07,2.4993
4/6/07,2.8706
4/7/07,3.1026
4/8/07,3.5579
4/9/07,2.4248
4/10/07,2.6481
4/11/07,3.6854
4/12/07,5.9251
4/13/07,3.7573
4/14/07,2.8795
4/15/07,4.9247
4/16/07,2.601
4/17/07,2.6374
4/18/07,5.0547
4/19/07,3.7357
4/20/07,4.0389
4/21/07,2.5704
4/22/07,2.5276
4/23/07,3.2971
4/24/07,2.4525
4/25/07,2.1704
4/26/07,2.0526
4/27/07,1.7002
4/28/07,1.868
4/29/07,2.6649
4/30/07,2.5064
5/1/07,3.3448
5/2/07,3.5361
5/3/07,3.1991
5/4/07,4.491
5/5/07,3.5683
5/6/07,3.5938
5/7/07,3.1308
5/8/07,2.341
5/9/07,2.2825
5/10/07,2.5698
5/11/07,3.0656
5/12/07,2.5456
5/13/07,1.9787
5/14/07,2.239
5/15/07,2.5714
5/16/07,2.1838
5/17/07,2.5672
5/18/07,2.1982
5/19/07,2.1062
5/20/07,2.7851
5/21/07,3.2446
5/22/07,3.0558
5/23/07,2.1592
5/24/07,2.1689
5/25/07,2.3731
5/26/07,2.7126
5/27/07,2.6477
5/28/07,2.5213
5/29/07,2.1741
5/30/07,2.3214
5/31/07,2.4279
6/1/07,2.2418
6/2/07,2.4842
6/3/07,2.2131
6/4/07,2.2151
6/5/07,3.5635
6/6/07,4.1481
6/7/07,2.1005
6/8/07,2.1458
6/9/07,1.9873
6/10/07,2.178
6/11/07,2.9018
6/12/07,1.8293
6/13/07,1.9981
6/14/07,2.5175
6/15/07,3.1323
6/16/07,2.6905
6/17/07,2.5182
6/18/07,2.7364
6/19/07,2.623
6/20/07,2.2058
6/21/07,2.4294
6/22/07,2.2518
6/23/07,2.7858
6/24/07,2.4189
6/25/07,2.4054
6/26/07,2.209
6/27/07,2.047
6/28/07,1.8768
6/29/07,2.1033
6/30/07,2.3994
7/1/07,2.4643
7/2/07,2.4637
7/3/07,2.4869
7/4/07,2.0975
7/5/07,1.9287
