"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Date (Local)","Year","Day In Year (Local)","Units of Measure","Exceptional Data Type","Nonreg Observation Count","Observation Count","Observation Percent","Nonreg Arithmetic Mean","Arithmetic Mean","Nonreg First Maximum Value","First Maximum Value","First Maximum Hour","AQI","Daily Criteria Indicator","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"06","083","0011","62102","1","34.427775","-119.691218","WGS84","Virtual Temperature","1 HOUR","","2017-01-01","2017","001","Degrees Fahrenheit","None","","24","100.0000","","51.491667","","58.3","15",".","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","42603","1","34.427775","-119.691218","WGS84","Oxides of nitrogen (NOx)","1 HOUR","","2017-01-01","2017","001","Parts per billion","None","","23","96.0000","","12.091304","","23.8","19",".","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","42601","1","34.427775","-119.691218","WGS84","Nitric oxide (NO)","1 HOUR","","2017-01-01","2017","001","Parts per billion","None","","23","96.0000","","2.469565","","6.1","8",".","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","42602","1","34.427775","-119.691218","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour 2010","2017-01-01","2017","001","Parts per billion","None","","23","96.0000","","9.617391","","19.4","19","18","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","62101","2","34.427775","-119.691218","WGS84","Outdoor Temperature","1 HOUR","","2017-01-01","2017","001","Degrees Fahrenheit","None","","24","100.0000","","49.941667","","57.9","15",".","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","42101","3","34.427775","-119.691218","WGS84","Carbon monoxide","8-HR RUN AVG END HOUR","CO 8-hour 1971","2017-01-01","2017","001","Parts per million","None","","18","75.0000","","0.288889","","0.5","23","6","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","42602","1","34.427775","-119.691218","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 Annual 1971","2017-01-01","2017","001","Parts per billion","None","","23","96.0000","","9.617391","","19.4","19","18","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","61104","1","34.427775","-119.691218","WGS84","Wind Direction - Resultant","1 HOUR","","2017-01-01","2017","001","Degrees Compass","None","","24","100.0000","","223.041667","","349","1",".","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","44201","1","34.427775","-119.691218","WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015","2017-01-01","2017","001","Parts per million","None","","17","100.0000","","0.015941","","0.033","9","31","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","62201","2","34.427775","-119.691218","WGS84","Relative Humidity","1 HOUR","","2017-01-01","2017","001","Percent relative humidity","None","","24","100.0000","","74","","87.9","6",".","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
